posicao_papel,ticker,horizonte,janela,episodios,protecao,prot_lo,taxa_base,passa_barra,corte,divisoes_usadas,divisoes_oferecidas,pregoes_medidos,inicio_medido,fim_medido
1,EGIE3,3,119,51,0.9803921568627451,0.8955251036044829,0.5153344602752958,True,-0.8775514020424986,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,115,51,0.9803921568627451,0.8955251036044829,0.5153344602752958,True,-0.8757297539577542,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,117,51,0.9803921568627451,0.8955251036044829,0.5153344602752958,True,-0.8746768302066159,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,118,51,0.9803921568627451,0.8955251036044829,0.5153344602752958,True,-0.8740277419765117,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,116,50,0.98,0.8935304542885001,0.5153344602752958,True,-0.8782484481925587,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,120,49,0.9795918367346939,0.891458236031593,0.5153344602752958,True,-0.8769758097133902,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,121,49,0.9795918367346939,0.891458236031593,0.5153344602752958,True,-0.8757194965059181,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,108,48,0.9791666666666666,0.8893038394068478,0.5250060401063059,True,-0.8909354167360031,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,109,48,0.9791666666666666,0.8893038394068478,0.5250060401063059,True,-0.883403922090416,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,81,62,0.967741935483871,0.8882808753761928,0.5153344602752958,True,-0.9126653856815169,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,103,47,0.9787234042553191,0.8870622828535999,0.5250060401063059,True,-0.8962934267834943,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,104,47,0.9787234042553191,0.8870622828535999,0.5250060401063059,True,-0.8961093844411678,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,122,47,0.9787234042553191,0.8870622828535999,0.5153344602752958,True,-0.8743987992265708,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,5,105,47,0.9787234042553191,0.8870622828535999,0.5250060401063059,True,-0.8982259116565332,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,106,47,0.9787234042553191,0.8870622828535999,0.5250060401063059,True,-0.8958779211253987,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,110,47,0.9787234042553191,0.8870622828535999,0.5250060401063059,True,-0.8831233452725553,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,107,47,0.9787234042553191,0.8870622828535999,0.5250060401063059,True,-0.8955119872490362,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,112,47,0.9787234042553191,0.8870622828535999,0.5250060401063059,True,-0.8906279653100144,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,111,47,0.9787234042553191,0.8870622828535999,0.5250060401063059,True,-0.8900613055995316,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,114,46,0.9782608695652174,0.88472817440201,0.5250060401063059,True,-0.8832985819714769,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,5,113,46,0.9782608695652174,0.88472817440201,0.5250060401063059,True,-0.8906784979747434,4,4,4139,2010-01-04,2026-08-28
1,EGIE3,3,125,46,0.9782608695652174,0.88472817440201,0.5153344602752958,True,-0.8670324620660572,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,126,46,0.9782608695652174,0.88472817440201,0.5153344602752958,True,-0.8627826793172435,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,161,46,0.9782608695652174,0.88472817440201,0.5153344602752958,True,-0.8306588866118793,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,160,46,0.9782608695652174,0.88472817440201,0.5153344602752958,True,-0.8314886419448275,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,82,60,0.9666666666666667,0.8847189555807483,0.5153344602752958,True,-0.9168762305671658,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,85,59,0.9661016949152542,0.8828515361116068,0.5153344602752958,True,-0.9189113599793254,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,86,59,0.9661016949152542,0.8828515361116068,0.5153344602752958,True,-0.9177665342980827,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,83,59,0.9661016949152542,0.8828515361116068,0.5153344602752958,True,-0.9183567515984133,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,124,45,0.9777777777777777,0.8822956685817058,0.5153344602752958,True,-0.8645197642413757,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,163,45,0.9777777777777777,0.8822956685817058,0.5153344602752958,True,-0.8312569359286578,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,123,45,0.9777777777777777,0.8822956685817058,0.5153344602752958,True,-0.8699201623561597,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,165,45,0.9777777777777777,0.8822956685817058,0.5153344602752958,True,-0.8359150746418477,4,4,4141,2010-01-04,2026-09-01
